timestamp;label;value
2025-10-16T11:11:28.261;ACC2A;4042
2025-10-16T11:11:28.261;ACC1B;20
2025-10-16T11:11:28.261;ACC2B;2730
2025-10-16T11:11:28.261;BRK1;835
2025-10-16T11:11:28.261;BRK2;835
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4042
2025-10-16T11:11:28.849;ACC1B;43
2025-10-16T11:11:28.849;ACC2B;1380
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;833
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4042
2025-10-16T11:11:28.849;ACC1B;66
2025-10-16T11:11:28.849;ACC2B;27
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;833
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;109
2025-10-16T11:11:28.849;ACC2A;4041
2025-10-16T11:11:28.849;ACC1B;66
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;833
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4042
2025-10-16T11:11:28.849;ACC1B;66
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;831
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4041
2025-10-16T11:11:28.849;ACC1B;66
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;835
2025-10-16T11:11:28.849;BRK2;835
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4041
2025-10-16T11:11:28.849;ACC1B;68
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;833
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;110
2025-10-16T11:11:28.849;ACC2A;4041
2025-10-16T11:11:28.849;ACC1B;68
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;835
2025-10-16T11:11:28.849;BRK2;833
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.849;TS_ON_BUTTON;0
2025-10-16T11:11:28.849;ACC1A;109
2025-10-16T11:11:28.849;ACC2A;4042
2025-10-16T11:11:28.849;ACC1B;66
2025-10-16T11:11:28.849;ACC2B;29
2025-10-16T11:11:28.849;BRK1;831
2025-10-16T11:11:28.849;BRK2;831
2025-10-16T11:11:28.849;STEER;0
2025-10-16T11:11:28.849;SDC_INPUT;0
2025-10-16T11:11:28.849;R2D_BUTTON;0
2025-10-16T11:11:28.849;RESET_BUTTON;0
2025-10-16T11:11:28.853;TS_ON_BUTTON;0
2025-10-16T11:11:28.853;ACC1A;110
2025-10-16T11:11:28.853;ACC2A;4041
